M,NaiveSearch_time,RabinKarpSearch_time
10,1413.8,1266.64
100,1381.26,1255.76
1000,1329.66,1191.14
10000,1329.2,1193.38
100000,1329.66,1221.24
1000000,1342.92,1214.88
