,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
0,5233.0,2447.0,3506.0,2457.0,499.0
1,4946.0,2447.0,3506.0,2457.0,499.0
2,5111.0,2447.0,3506.0,2457.0,499.0
3,4850.0,2447.0,3506.0,2457.0,499.0
4,5296.0,2447.0,3506.0,2457.0,499.0
5,4956.0,2447.0,3506.0,2457.0,499.0
6,5153.0,2447.0,3506.0,2457.0,499.0
7,5020.0,2448.0,3507.0,2458.0,702.0
8,4886.0,2453.0,3512.0,2463.0,692.0
9,5033.0,2458.0,3517.0,2468.0,680.0
10,5039.0,2468.0,3521.0,2472.0,666.0
11,4823.0,2473.0,3526.0,2478.0,650.0
12,4935.0,2480.0,3534.0,2485.0,706.0
13,5268.0,2490.0,3542.0,2492.0,700.0
14,5754.0,2523.0,3550.0,2500.0,690.0
15,5130.0,2523.0,3556.0,2509.0,709.0
16,5137.0,2524.0,3572.0,2532.0,704.0
17,5072.0,2541.0,3577.0,2548.0,697.0
18,5215.0,2569.0,3596.0,2561.0,911.0
19,4941.0,2586.0,3611.0,2573.0,906.0
20,4986.0,2639.0,3620.0,2595.0,890.0
21,5235.0,2664.0,3640.0,2620.0,879.0
22,5006.0,2701.0,3656.0,2633.0,853.0
23,5013.0,2715.0,3662.0,2657.0,932.0
24,4988.0,2788.0,3700.0,2685.0,938.0
25,4928.0,2826.0,3739.0,2722.0,967.0
26,5139.0,2847.0,3785.0,2741.0,976.0
27,4923.0,2879.0,3802.0,2791.0,981.0
28,5292.0,3012.0,3845.0,2825.0,1188.0
29,4932.0,3011.0,3847.0,2855.0,1208.0
30,5180.0,3040.0,3881.0,2904.0,1186.0
31,4897.0,3026.0,3915.0,2938.0,1199.0
32,5061.0,3422.0,3959.0,2982.0,1210.0
33,4903.0,3016.0,3978.0,3020.0,1191.0
34,5356.0,3056.0,4014.0,3028.0,1273.0
35,5458.0,3334.0,4039.0,3065.0,1263.0
36,4976.0,3252.0,4061.0,3096.0,1244.0
37,5221.0,3309.0,4098.0,3119.0,1254.0
38,5113.0,3301.0,4132.0,3144.0,1233.0
39,4892.0,3469.0,4152.0,3169.0,1300.0
40,4983.0,3391.0,4190.0,3216.0,1522.0
41,4851.0,3441.0,4201.0,3246.0,1501.0
42,5071.0,3421.0,4229.0,3273.0,1520.0
43,4961.0,3292.0,4265.0,3317.0,1580.0
44,5017.0,3231.0,4298.0,3320.0,1577.0
45,5184.0,3466.0,4356.0,3357.0,1598.0
46,5280.0,3807.0,4378.0,3358.0,1589.0
47,5079.0,3433.0,4381.0,3367.0,1607.0
48,5140.0,3343.0,4404.0,3416.0,1612.0
49,4931.0,3636.0,4430.0,3474.0,1605.0
50,4926.0,3679.0,4475.0,3509.0,1675.0
51,5078.0,3580.0,4525.0,3563.0,1679.0
52,5031.0,3953.0,4552.0,3554.0,1888.0
53,4957.0,3948.0,4592.0,3613.0,1914.0
54,4909.0,4034.0,4669.0,3625.0,1938.0
55,5021.0,4297.0,4692.0,3655.0,1963.0
56,5457.0,3907.0,4753.0,3694.0,1988.0
57,5338.0,4493.0,4808.0,3723.0,1998.0
58,5152.0,3926.0,4834.0,3750.0,1997.0
59,5209.0,4067.0,4878.0,3769.0,2086.0
60,4894.0,4112.0,4909.0,3805.0,2094.0
61,5239.0,3844.0,4930.0,3905.0,2112.0
62,5047.0,4268.0,4973.0,3971.0,2124.0
63,5015.0,4146.0,5048.0,4044.0,2112.0
64,4959.0,4512.0,5078.0,4116.0,2334.0
65,4855.0,4112.0,5073.0,4186.0,2354.0
66,5161.0,4182.0,5054.0,4234.0,2367.0
67,4958.0,4201.0,5062.0,4283.0,2510.0
68,5125.0,4158.0,5126.0,4343.0,2500.0
69,5380.0,3910.0,5192.0,4379.0,2532.0
70,5140.0,4337.0,5257.0,4438.0,2522.0
71,4933.0,4281.0,5299.0,4461.0,2536.0
72,4939.0,4478.0,5335.0,4520.0,2538.0
73,5080.0,4385.0,5414.0,4530.0,2595.0
74,5072.0,4502.0,5502.0,4625.0,2609.0
75,5018.0,4675.0,5576.0,4691.0,2627.0
76,4884.0,4775.0,5633.0,4798.0,2657.0
77,5044.0,4318.0,5689.0,4845.0,2954.0
78,5158.0,4527.0,5728.0,4899.0,2986.0
79,5251.0,4495.0,5739.0,4917.0,3007.0
80,5279.0,5133.0,5730.0,4894.0,3026.0
81,5023.0,4924.0,5770.0,4879.0,3051.0
82,5062.0,4993.0,5795.0,4841.0,3076.0
83,4902.0,5340.0,5822.0,4841.0,3114.0
84,4874.0,4878.0,5820.0,4990.0,3113.0
85,5268.0,5083.0,5870.0,5037.0,3134.0
86,5068.0,4933.0,5938.0,5176.0,3125.0
87,5125.0,4692.0,5923.0,5195.0,3163.0
88,5023.0,4913.0,5902.0,5255.0,3183.0
89,4988.0,5349.0,5940.0,5276.0,3217.0
90,5017.0,5055.0,5929.0,5351.0,3477.0
91,5093.0,5154.0,5966.0,5374.0,3520.0
92,4871.0,5796.0,6083.0,5436.0,3538.0
93,5069.0,5238.0,6028.0,5421.0,3576.0
94,5063.0,4854.0,6087.0,5483.0,3616.0
95,5226.0,5572.0,6081.0,5558.0,3634.0
96,5402.0,5179.0,6062.0,5544.0,3677.0
97,5100.0,5250.0,6086.0,5528.0,3722.0
98,4888.0,5404.0,6139.0,5451.0,3755.0
99,4876.0,4895.0,6211.0,5634.0,3778.0
100,4931.0,5520.0,6243.0,5718.0,3810.0
101,5005.0,5004.0,6596.0,5901.0,3793.0
102,4829.0,5335.0,6581.0,5702.0,3777.0
103,5002.0,5168.0,6401.0,5700.0,3773.0
104,5045.0,5207.0,6586.0,5945.0,3734.0
105,5063.0,5506.0,6698.0,5559.0,3697.0
106,4889.0,4946.0,6252.0,5789.0,3694.0
107,5244.0,5377.0,6665.0,6038.0,3659.0
108,5323.0,5239.0,6493.0,5706.0,3670.0
109,5368.0,5557.0,6171.0,5831.0,3675.0
110,5019.0,5288.0,6137.0,5880.0,3633.0
111,5518.0,5269.0,6454.0,5580.0,3616.0
112,4999.0,5716.0,6126.0,5898.0,3313.0
113,5070.0,5462.0,6385.0,5689.0,3305.0
114,5002.0,5382.0,6537.0,5691.0,3299.0
115,4983.0,4698.0,6384.0,5714.0,3250.0
116,4957.0,4970.0,6300.0,5459.0,3238.0
117,4971.0,4786.0,6560.0,5591.0,3238.0
118,5187.0,4883.0,6331.0,5639.0,3230.0
