,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
171,3098.0,1314.0,2236.0,1992.0,0.0
172,3070.0,1384.0,2154.0,1948.0,0.0
173,2937.0,1316.0,2176.0,2026.0,0.0
174,2961.0,1340.0,2152.0,1904.0,0.0
175,2755.0,1288.0,2126.0,1866.0,0.0
176,2869.0,1210.0,2148.0,1886.0,0.0
177,3678.0,1259.0,2180.0,1848.0,0.0
178,3118.0,1251.0,2149.0,1939.0,0.0
179,2857.0,1218.0,2133.0,1893.0,0.0
180,2675.0,1192.0,2141.0,1855.0,0.0
181,3097.0,1169.0,2124.0,1918.0,0.0
182,3361.0,1136.0,2135.0,1839.0,0.0
183,2830.0,1096.0,2146.0,1834.0,0.0
184,3069.0,1069.0,2123.0,1853.0,0.0
185,3258.0,1075.0,2120.0,1820.0,0.0
186,3119.0,1035.0,2115.0,1847.0,0.0
187,3096.0,1020.0,2091.0,1831.0,0.0
188,3173.0,1003.0,2115.0,1815.0,0.0
189,2821.0,997.0,2111.0,1833.0,0.0
190,2896.0,1010.0,2096.0,1806.0,0.0
191,3288.0,1001.0,2109.0,1813.0,0.0
192,2770.0,986.0,2092.0,1816.0,0.0
193,2881.0,980.0,2100.0,1808.0,0.0
194,3012.0,976.0,2099.0,1807.0,0.0
195,2973.0,943.0,2100.0,1804.0,0.0
196,3152.0,943.0,2100.0,1804.0,0.0
197,2689.0,943.0,2100.0,1804.0,0.0
198,2968.0,943.0,2100.0,1804.0,0.0
199,2919.0,943.0,2100.0,1804.0,0.0
200,3131.0,943.0,2100.0,1804.0,0.0
