,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
116,149409.0,151176.0,244849.0,207970.0,91875.0
117,151870.0,152879.0,239851.0,208785.0,90210.0
118,150494.0,146090.0,246162.0,202011.0,89251.0
119,150241.0,156669.0,243086.0,208787.0,87401.0
120,149839.0,147610.0,239775.0,201333.0,85312.0
121,152562.0,154420.0,235540.0,200611.0,83132.0
122,149763.0,147116.0,236990.0,198507.0,82166.0
123,154997.0,155473.0,232241.0,197163.0,82735.0
124,151683.0,146432.0,231066.0,200805.0,82627.0
125,155664.0,146387.0,228117.0,201285.0,76967.0
126,152191.0,140985.0,229006.0,201168.0,75441.0
127,151873.0,157736.0,227827.0,196191.0,78433.0
128,155714.0,153401.0,227456.0,189155.0,72952.0
129,152688.0,153041.0,225863.0,186091.0,73813.0
130,151734.0,139013.0,224828.0,184549.0,71304.0
131,152837.0,141032.0,223983.0,182964.0,68501.0
132,152692.0,144804.0,220103.0,182885.0,67094.0
133,148079.0,145412.0,226026.0,178314.0,65932.0
134,153068.0,141740.0,221650.0,180762.0,66112.0
135,152145.0,148378.0,219496.0,178684.0,63817.0
136,161633.0,150521.0,216589.0,180169.0,62688.0
137,155916.0,136794.0,214264.0,177612.0,61268.0
138,149465.0,133356.0,212765.0,175916.0,60537.0
139,151312.0,135345.0,214369.0,171446.0,57596.0
140,149731.0,136063.0,215867.0,170544.0,57026.0
141,154572.0,136561.0,213185.0,169616.0,56254.0
142,148086.0,138059.0,209364.0,171541.0,54681.0
143,152020.0,134139.0,210129.0,166272.0,52711.0
144,150023.0,145404.0,204847.0,167453.0,52302.0
145,153428.0,131790.0,205694.0,163245.0,50755.0
146,152265.0,137960.0,203456.0,166388.0,49554.0
147,149659.0,135299.0,203825.0,163498.0,49393.0
148,154174.0,134096.0,201294.0,164123.0,48033.0
149,148303.0,129929.0,201155.0,160694.0,47168.0
150,158901.0,130481.0,198741.0,160382.0,45975.0
151,152438.0,131204.0,198917.0,155881.0,43216.0
152,155261.0,128225.0,199453.0,156062.0,42619.0
153,148914.0,128993.0,195802.0,155566.0,41323.0
154,149320.0,128052.0,195429.0,155594.0,40983.0
155,153796.0,129890.0,195486.0,154068.0,40484.0
156,160366.0,128972.0,193402.0,152136.0,38835.0
157,150996.0,135226.0,194100.0,152009.0,37498.0
158,154240.0,132063.0,195157.0,152365.0,36608.0
159,151205.0,122724.0,192621.0,148069.0,35979.0
160,154940.0,123287.0,190550.0,149008.0,35788.0
161,154693.0,128956.0,189554.0,144125.0,34126.0
162,157313.0,119084.0,189267.0,142899.0,33004.0
163,152107.0,118350.0,187783.0,141846.0,33001.0
164,149501.0,118986.0,187468.0,141667.0,30918.0
165,152502.0,118244.0,188793.0,140963.0,30212.0
166,155610.0,130892.0,185851.0,139549.0,29273.0
167,153603.0,114787.0,185843.0,139913.0,28547.0
168,151550.0,113671.0,185839.0,139029.0,27574.0
169,159012.0,112981.0,183482.0,139454.0,26836.0
170,152242.0,112734.0,182178.0,137248.0,25812.0
171,146735.0,111496.0,182118.0,137384.0,24937.0
172,155842.0,111057.0,182773.0,134095.0,23525.0
173,158574.0,110660.0,182182.0,134262.0,23139.0
174,153135.0,109656.0,180212.0,132248.0,22611.0
175,151294.0,108023.0,178981.0,133417.0,22038.0
176,149778.0,108034.0,179132.0,132082.0,21063.0
177,158344.0,108019.0,178069.0,130969.0,20391.0
178,149727.0,106734.0,178472.0,131818.0,19947.0
179,158775.0,106677.0,177598.0,129312.0,19093.0
180,154219.0,105576.0,177488.0,130696.0,18379.0
181,155408.0,105424.0,176984.0,128440.0,17938.0
182,150008.0,105554.0,176524.0,128278.0,17041.0
183,152639.0,105233.0,175858.0,126524.0,16294.0
184,156175.0,103526.0,175719.0,125847.0,15886.0
185,149337.0,103571.0,175155.0,125033.0,14888.0
186,147287.0,103098.0,174916.0,124968.0,14654.0
187,149179.0,102652.0,174329.0,123911.0,13909.0
188,153174.0,101653.0,174481.0,123475.0,13323.0
189,150408.0,100935.0,174092.0,122644.0,13195.0
190,151874.0,101128.0,173825.0,122549.0,12520.0
191,156089.0,100977.0,173353.0,121853.0,12096.0
192,154947.0,100647.0,173149.0,121573.0,11630.0
193,148337.0,100186.0,172901.0,121105.0,11236.0
194,153456.0,99726.0,172852.0,120952.0,11099.0
195,149300.0,99159.0,172981.0,120749.0,10554.0
196,153770.0,98960.0,172673.0,120469.0,10374.0
197,148737.0,98742.0,172704.0,120354.0,10425.0
198,162896.0,98595.0,172604.0,120256.0,10106.0
199,149541.0,98469.0,172582.0,120190.0,10038.0
200,151665.0,98466.0,172578.0,120190.0,9999.0
