,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
0,87270.0,21510.0,0.0,0.0,0.0
1,88142.0,21510.0,0.0,0.0,0.0
2,82745.0,21592.0,81.0,91.0,0.0
3,84656.0,21852.0,256.0,288.0,0.0
4,88837.0,22225.0,557.0,633.0,0.0
5,79541.0,22856.0,895.0,1065.0,0.0
6,89688.0,23490.0,1222.0,1544.0,0.0
7,78615.0,24075.0,1716.0,2096.0,0.0
8,78755.0,24752.0,2208.0,2758.0,0.0
9,81410.0,25238.0,2967.0,3565.0,0.0
10,88371.0,25835.0,3628.0,4320.0,0.0
11,83594.0,26290.0,4326.0,5204.0,0.0
12,84316.0,25740.0,4987.0,6099.0,0.0
13,83649.0,26905.0,5833.0,7201.0,0.0
14,90185.0,27743.0,6462.0,8184.0,0.0
15,85756.0,28111.0,7503.0,9243.0,0.0
16,84655.0,28298.0,8339.0,10329.0,0.0
17,83152.0,29275.0,9002.0,11378.0,0.0
18,86156.0,29167.0,9697.0,12365.0,0.0
19,92605.0,28917.0,10697.0,13809.0,0.0
20,82956.0,30335.0,11304.0,14930.0,0.0
21,83419.0,31022.0,12119.0,15721.0,0.0
22,89063.0,31486.0,13187.0,17103.0,0.0
23,85807.0,30604.0,13955.0,18585.0,0.0
24,91066.0,31412.0,14921.0,19529.0,0.0
25,83155.0,31684.0,15919.0,20905.0,0.0
26,82269.0,32727.0,17058.0,22242.0,0.0
27,88539.0,32870.0,18082.0,23734.0,0.0
28,80023.0,32987.0,19619.0,24833.0,0.0
29,86522.0,33637.0,20977.0,26819.0,0.0
30,83732.0,35125.0,22080.0,28578.0,0.0
31,88452.0,34149.0,23320.0,30328.0,0.0
32,81498.0,35366.0,24596.0,32248.0,0.0
33,87298.0,35879.0,25681.0,33345.0,0.0
34,87556.0,36800.0,26955.0,35239.0,0.0
35,90254.0,35802.0,28499.0,37055.0,0.0
36,91310.0,37957.0,29531.0,38443.0,0.0
37,88613.0,38130.0,30860.0,39842.0,0.0
38,88396.0,38773.0,32133.0,41021.0,0.0
39,85485.0,39461.0,33795.0,42485.0,0.0
40,82878.0,38704.0,34954.0,43860.0,0.0
