,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
0,11292.0,6195.0,8006.0,5457.0,999.0
1,11377.0,6195.0,8006.0,5457.0,999.0
2,11039.0,6195.0,8006.0,5457.0,999.0
3,11473.0,6217.0,8013.0,5464.0,1178.0
4,11338.0,6240.0,8022.0,5474.0,1148.0
5,11333.0,6212.0,8034.0,5484.0,1112.0
6,11431.0,6241.0,8053.0,5505.0,1072.0
7,11007.0,6266.0,8066.0,5518.0,1286.0
8,11350.0,6284.0,8096.0,5560.0,1368.0
9,11000.0,6329.0,8137.0,5621.0,1418.0
10,10926.0,6454.0,8158.0,5672.0,1372.0
11,10940.0,6421.0,8209.0,5717.0,1449.0
12,11191.0,6497.0,8227.0,5763.0,1413.0
13,11514.0,6547.0,8238.0,5823.0,1578.0
14,11491.0,6621.0,8281.0,5876.0,1589.0
15,11212.0,6754.0,8326.0,5912.0,1546.0
16,11463.0,6692.0,8335.0,5950.0,1483.0
17,10857.0,6729.0,8378.0,6002.0,1531.0
18,11132.0,6848.0,8423.0,6052.0,1530.0
19,11180.0,6865.0,8453.0,6077.0,1648.0
20,10693.0,7039.0,8504.0,6111.0,1832.0
21,11175.0,6973.0,8505.0,6168.0,1932.0
22,10736.0,7267.0,8550.0,6229.0,1928.0
23,11784.0,7170.0,8578.0,6303.0,1962.0
24,12050.0,7292.0,8648.0,6367.0,1995.0
25,11104.0,7224.0,8737.0,6450.0,2027.0
26,11661.0,7240.0,8776.0,6490.0,2314.0
27,11566.0,7339.0,8839.0,6552.0,2324.0
28,11087.0,7652.0,8892.0,6670.0,2271.0
29,11292.0,7534.0,8913.0,6688.0,2291.0
30,12026.0,7634.0,9003.0,6763.0,2271.0
31,11260.0,7290.0,9062.0,6780.0,2411.0
32,11335.0,7479.0,9086.0,6868.0,2593.0
33,11246.0,7552.0,9117.0,6941.0,2560.0
34,11167.0,7857.0,9210.0,6990.0,2578.0
35,10834.0,7720.0,9291.0,7099.0,2656.0
36,11672.0,7835.0,9393.0,7130.0,2705.0
37,11189.0,8156.0,9484.0,7186.0,2757.0
38,11139.0,8356.0,9573.0,7293.0,2803.0
39,11259.0,7775.0,9653.0,7283.0,2985.0
40,13164.0,8147.0,9704.0,7360.0,3050.0
41,11044.0,8379.0,9756.0,7523.0,3060.0
42,10958.0,8172.0,9804.0,7649.0,3075.0
43,11471.0,8295.0,9879.0,7692.0,3155.0
44,11353.0,8366.0,9903.0,7778.0,3289.0
45,11290.0,8106.0,9961.0,7828.0,3565.0
46,10944.0,8153.0,10009.0,7880.0,3548.0
47,11179.0,8499.0,10064.0,7930.0,3503.0
48,11093.0,8272.0,10178.0,8062.0,3420.0
49,11543.0,8493.0,10176.0,8098.0,3547.0
50,11305.0,8962.0,10243.0,8262.0,3580.0
51,11403.0,8647.0,10304.0,8448.0,3771.0
52,11214.0,9100.0,10350.0,8538.0,3993.0
53,11367.0,8883.0,10526.0,8657.0,4024.0
54,11310.0,8685.0,10701.0,8640.0,4100.0
55,11217.0,9725.0,10682.0,8767.0,4208.0
56,11271.0,9248.0,10777.0,8765.0,4249.0
57,11066.0,9081.0,10812.0,8826.0,4467.0
58,11014.0,8812.0,11011.0,8835.0,4552.0
59,11570.0,8931.0,11033.0,9036.0,4548.0
60,11277.0,9207.0,11133.0,9156.0,4712.0
61,10960.0,9408.0,11220.0,9300.0,4737.0
62,11680.0,9139.0,11361.0,9604.0,4723.0
63,11707.0,9195.0,11388.0,9792.0,4875.0
64,11805.0,9365.0,11567.0,9869.0,5076.0
65,11332.0,9346.0,11698.0,10052.0,5216.0
66,10847.0,9484.0,11797.0,10372.0,5176.0
67,11039.0,9986.0,11775.0,10441.0,5238.0
68,11153.0,9411.0,11941.0,10458.0,5191.0
69,10917.0,9750.0,12078.0,10672.0,5333.0
70,11240.0,9687.0,11980.0,10807.0,5663.0
71,12402.0,11098.0,12104.0,10970.0,5640.0
72,10969.0,10251.0,12268.0,11043.0,5736.0
73,11092.0,10111.0,12239.0,11111.0,5747.0
74,11277.0,9793.0,12340.0,11261.0,5765.0
75,10866.0,10697.0,12446.0,11425.0,5811.0
76,11423.0,10619.0,12608.0,11468.0,6054.0
