,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
0,72428.0,37817.0,55005.0,35084.0,4999.0
1,70555.0,37817.0,55005.0,35084.0,4999.0
2,70336.0,37841.0,55022.0,35101.0,5033.0
3,71527.0,37951.0,55125.0,35206.0,5301.0
4,69112.0,38118.0,55252.0,35350.0,5416.0
5,73442.0,38408.0,55418.0,35538.0,5472.0
6,68684.0,38742.0,55603.0,35742.0,5737.0
7,69331.0,39101.0,55777.0,36013.0,5925.0
8,71078.0,39390.0,56043.0,36270.0,5979.0
9,74831.0,40086.0,56266.0,36502.0,5988.0
10,69191.0,40130.0,56473.0,36809.0,6235.0
11,69342.0,40142.0,56702.0,37049.0,6362.0
12,70080.0,40768.0,56948.0,37353.0,6878.0
13,71333.0,42664.0,57158.0,37589.0,7019.0
14,76072.0,41588.0,57538.0,38042.0,7285.0
15,71641.0,42276.0,57817.0,38506.0,7390.0
16,69328.0,42007.0,58069.0,38896.0,7634.0
17,69776.0,42150.0,58371.0,39286.0,7814.0
18,74481.0,42237.0,58698.0,39575.0,8294.0
19,72282.0,43358.0,59161.0,40076.0,8495.0
20,71470.0,43379.0,59670.0,40500.0,8977.0
21,71643.0,43728.0,60025.0,41040.0,9257.0
22,69578.0,43630.0,60294.0,41483.0,9880.0
23,68735.0,44089.0,60674.0,42007.0,9956.0
24,69134.0,45203.0,60990.0,42694.0,10237.0
25,76213.0,44944.0,61309.0,43201.0,10453.0
26,70685.0,45082.0,61891.0,43612.0,10821.0
27,70866.0,46534.0,62193.0,44305.0,10979.0
28,73667.0,45552.0,62602.0,44652.0,11212.0
29,70372.0,45844.0,63271.0,45276.0,11597.0
30,70419.0,46535.0,63782.0,45804.0,11790.0
31,68472.0,46783.0,64470.0,46374.0,12645.0
32,71441.0,46943.0,65190.0,47061.0,12613.0
33,70975.0,47764.0,65885.0,47454.0,13028.0
34,68301.0,48226.0,66254.0,48119.0,13373.0
35,71643.0,47968.0,66738.0,48642.0,13682.0
36,71065.0,48728.0,67383.0,49000.0,14087.0
37,68768.0,52068.0,68031.0,49568.0,14779.0
38,70273.0,48307.0,68669.0,50072.0,15224.0
39,72282.0,51353.0,69305.0,50961.0,15790.0
40,70748.0,48732.0,69842.0,51375.0,16145.0
41,70893.0,49439.0,70499.0,52067.0,16376.0
42,71422.0,49177.0,71152.0,52950.0,17022.0
43,71013.0,49293.0,71687.0,53835.0,17300.0
44,71122.0,52605.0,72335.0,54309.0,17626.0
45,70946.0,52832.0,73042.0,54758.0,17945.0
46,70524.0,51150.0,73697.0,55584.0,18142.0
47,70505.0,51712.0,74260.0,55797.0,19368.0
48,69298.0,51458.0,74961.0,56506.0,19178.0
49,69328.0,53338.0,75726.0,56945.0,20265.0
50,71745.0,58347.0,76162.0,58141.0,20050.0
51,69012.0,58710.0,76558.0,58782.0,21209.0
