,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
0,41210.0,8838.0,0.0,0.0,0.0
1,36874.0,8838.0,0.0,0.0,0.0
2,39494.0,8867.0,17.0,17.0,0.0
3,44115.0,8975.0,120.0,122.0,0.0
4,37834.0,9149.0,249.0,267.0,0.0
5,40247.0,9450.0,416.0,458.0,0.0
6,38685.0,9736.0,603.0,661.0,0.0
7,39697.0,10098.0,779.0,931.0,0.0
8,39750.0,10431.0,1046.0,1192.0,0.0
9,40981.0,10864.0,1269.0,1425.0,0.0
10,41156.0,10972.0,1482.0,1736.0,0.0
11,39054.0,10991.0,1713.0,1977.0,0.0
12,39427.0,11428.0,1965.0,2285.0,0.0
13,43101.0,11282.0,2180.0,2530.0,0.0
14,44607.0,12035.0,2561.0,2987.0,0.0
15,39056.0,11679.0,2839.0,3451.0,0.0
16,37563.0,12726.0,3100.0,3844.0,0.0
17,38407.0,12704.0,3405.0,4233.0,0.0
18,46443.0,12796.0,3742.0,4528.0,0.0
19,40199.0,12684.0,4215.0,5031.0,0.0
20,39346.0,13095.0,4733.0,5463.0,0.0
21,38302.0,13848.0,5099.0,6013.0,0.0
22,37403.0,13734.0,5381.0,6457.0,0.0
23,39996.0,14015.0,5765.0,6983.0,0.0
24,40349.0,14681.0,6094.0,7674.0,0.0
25,45723.0,15340.0,6425.0,8197.0,0.0
26,40566.0,14267.0,7008.0,8612.0,0.0
27,42560.0,15091.0,7310.0,9312.0,0.0
28,37988.0,14708.0,7745.0,9675.0,0.0
29,41198.0,14277.0,8394.0,10310.0,0.0
30,40407.0,16128.0,8922.0,10834.0,0.0
31,37576.0,16317.0,9617.0,11409.0,0.0
32,39118.0,16116.0,10344.0,12102.0,0.0
33,39378.0,15134.0,11050.0,12522.0,0.0
34,39592.0,16291.0,11437.0,13185.0,0.0
35,43180.0,17400.0,11916.0,13722.0,0.0
36,42288.0,17077.0,12577.0,14093.0,0.0
37,39394.0,16474.0,13236.0,14676.0,0.0
38,39660.0,16641.0,13891.0,15191.0,0.0
39,38540.0,19144.0,14540.0,16084.0,0.0
40,37397.0,17271.0,15090.0,16528.0,0.0
41,38366.0,18025.0,15759.0,17229.0,0.0
42,39093.0,18063.0,16440.0,18140.0,0.0
43,41282.0,17783.0,16999.0,19033.0,0.0
44,43994.0,17957.0,17653.0,19539.0,0.0
45,42446.0,19510.0,18382.0,19990.0,0.0
46,40435.0,20314.0,19065.0,20813.0,0.0
47,40203.0,20036.0,19654.0,21042.0,0.0
48,37956.0,20466.0,20373.0,21747.0,0.0
49,40994.0,19607.0,21173.0,22203.0,0.0
50,39239.0,20805.0,21638.0,23414.0,0.0
51,36810.0,19287.0,22033.0,24057.0,0.0
52,38922.0,20725.0,22800.0,25154.0,0.0
53,42034.0,21471.0,23236.0,26000.0,0.0
54,40842.0,21951.0,23799.0,26831.0,0.0
55,37098.0,20458.0,24290.0,27854.0,0.0
56,38304.0,19905.0,24916.0,28536.0,0.0
57,39612.0,21638.0,25390.0,29614.0,0.0
58,39586.0,23505.0,26166.0,30416.0,0.0
59,38435.0,23102.0,26664.0,30692.0,0.0
60,41222.0,23827.0,27506.0,31406.0,0.0
61,41068.0,24579.0,28288.0,32712.0,0.0
62,39234.0,24216.0,28921.0,33301.0,0.0
63,42503.0,26667.0,29523.0,34121.0,0.0
64,41980.0,23516.0,30318.0,35330.0,0.0
65,44818.0,23097.0,30785.0,36275.0,0.0
66,39168.0,27213.0,31599.0,37393.0,0.0
67,44367.0,25355.0,32154.0,38350.0,0.0
